BuildingType,PrimaryPropertyType,Neighborhood,BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),PercentagePropertyGFABuildings,GFAperBuilding,GFAperFloor,LargestPropertyUseType,LargestPropertyUseTypeGFAPourcentage,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFAPourcentage,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFAPourcentage,ENERGYSTARScore,PercentageSteamUse(kBtu),PercentageElectricity(kBtu),SiteEnergyUseWN(kBtu),SiteEUIWN(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Mixed Use Property,LAKE UNION,8,1,3,175918,51218,124700,71.0,124700.0,41567.0,Office,38.0,Parking,33.0,Laboratory,17.0,,0.0,53.0,22846738.0,235.6000061,640.71,3.64
NonResidential,Other,LAKE UNION,96,1,3,169785,63782,106003,62.0,106003.0,35334.0,Other,62.0,Parking,38.0,,,,0.0,68.0,19419744.0,183.1999969,406.02,2.39
NonResidential,Large Office,LAKE UNION,45,1,11,124721,0,124721,100.0,124721.0,11338.0,Office,86.0,Restaurant,13.0,Parking,10.0,58.0,0.0,56.0,14339818.0,115.0,365.79,2.93
NonResidential,Small- and Mid-Sized Office,LAKE UNION,46,1,7,94002,0,94002,100.0,94002.0,13429.0,Office,100.0,Parking,33.0,,,70.0,0.0,100.0,5662234.0,60.29999924,39.47,0.42
NonResidential,Warehouse,GREATER DUWAMISH,42,1,1,93020,0,93020,100.0,93020.0,93020.0,Non-Refrigerated Warehouse,100.0,,,,,60.0,0.0,100.0,1252323.875,13.5,8.73,0.09
NonResidential,Other,DOWNTOWN,70,1,1,23000,0,23000,100.0,23000.0,23000.0,Other,88.0,Office,12.0,,,,0.0,31.0,845892.1875,36.79999924,25.74,1.12
NonResidential,Supermarket / Grocery Store,SOUTHEAST,14,1,1,61053,0,61053,100.0,61053.0,61053.0,Supermarket/Grocery Store,89.0,Parking,0.0,,,32.0,0.0,62.0,13564414.0,249.1999969,306.5,5.02
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,112,1,5,78920,0,78920,100.0,78920.0,15784.0,Office,100.0,,,,,88.0,0.0,100.0,2830674.75,36.0,19.73,0.25
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,110,1,7,99440,0,99440,100.0,99440.0,14206.0,Office,65.0,Retail Store,24.0,,,64.0,0.0,70.0,6669621.5,75.0,134.69,1.35
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,109,1,6,73260,0,73260,100.0,73260.0,12210.0,Office,87.0,,,,,82.0,0.0,94.0,3020795.0,47.29999924,19.89,0.27
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,116,1,4,69817,0,69817,100.0,69817.0,17454.0,Office,50.0,Retail Store,37.0,,,87.0,32.0,52.0,2380143.75,39.20000076,76.8,1.1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,116,1,4,84750,0,84750,100.0,84750.0,21188.0,Office,49.0,Enclosed Mall,34.0,,,,0.0,85.0,2165173.25,30.79999924,26.04,0.31
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,116,1,6,75496,13320,62176,82.0,62176.0,10363.0,Office,61.0,Retail Store,13.0,Restaurant,6.0,,0.0,95.0,3740114.25,62.09999847,24.89,0.33
NonResidential,Large Office,DOWNTOWN,116,1,4,164380,0,164380,100.0,164380.0,41095.0,Office,75.0,Retail Store,13.0,,,79.0,5.0,80.0,7778893.0,53.90000153,130.31,0.79
NonResidential,Large Office,DOWNTOWN,109,1,7,160580,0,160580,100.0,160580.0,22940.0,Office,100.0,,,,,98.0,8.0,67.0,4501784.0,28.0,99.59,0.62
Nonresidential COS,Other,DOWNTOWN,110,1,3,67755,0,67755,100.0,67755.0,22585.0,Other,50.0,Office,29.0,Other - Entertainment/Public Assembly,18.0,,0.0,94.0,2031594.375,31.0,13.28,0.2
NonResidential,Mixed Use Property,GREATER DUWAMISH,106,1,3,56700,0,56700,100.0,56700.0,18900.0,Office,46.0,Distribution Center,32.0,Non-Refrigerated Warehouse,22.0,37.0,0.0,83.0,2462293.5,43.40000153,31.58,0.56
NonResidential,Warehouse,GREATER DUWAMISH,94,1,1,82852,0,82852,100.0,82852.0,82852.0,Non-Refrigerated Warehouse,71.0,Retail Store,28.0,,,83.0,0.0,43.0,2472120.0,30.20000076,65.56,0.79
NonResidential,Other,GREATER DUWAMISH,63,1,2,76442,0,76442,100.0,76442.0,38221.0,Other,66.0,Distribution Center,24.0,Office,10.0,,0.0,37.0,4608482.0,60.59999847,132.6,1.73
NonResidential,Distribution Center,GREATER DUWAMISH,54,1,2,92792,0,92792,100.0,92792.0,46396.0,Distribution Center,92.0,Office,14.0,,,56.0,0.0,58.0,3471977.25,35.09999847,74.18,0.8
NonResidential,Other,GREATER DUWAMISH,75,2,2,125519,0,125519,100.0,62760.0,31380.0,Manufacturing/Industrial Plant,114.0,,,,,,0.0,100.0,2244317.0,15.69999981,15.65,0.12
NonResidential,Large Office,GREATER DUWAMISH,116,1,4,129000,25800,103200,80.0,103200.0,25800.0,Office,81.0,,,,,80.0,0.0,100.0,4374646.0,41.70000076,30.5,0.24
NonResidential,Warehouse,GREATER DUWAMISH,62,1,1,78814,0,78814,100.0,78814.0,78814.0,Non-Refrigerated Warehouse,100.0,,,,,69.0,0.0,70.0,911161.3125,11.60000038,16.48,0.21
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,112,1,4,58970,0,58970,100.0,58970.0,14742.0,Office,68.0,Non-Refrigerated Warehouse,20.0,Multifamily Housing,12.0,,0.0,60.0,1916863.375,32.79999924,41.18,0.7
NonResidential,Distribution Center,GREATER DUWAMISH,106,1,6,75600,10800,64800,86.0,64800.0,10800.0,Distribution Center,68.0,Office,14.0,Parking,8.0,15.0,0.0,100.0,2688675.75,43.70000076,18.74,0.25
NonResidential,Distribution Center,GREATER DUWAMISH,109,1,4,56270,0,56270,100.0,56270.0,14068.0,Distribution Center,71.0,Non-Refrigerated Warehouse,16.0,Office,7.0,,0.0,100.0,1056782.125,18.79999924,7.37,0.13
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,112,1,4,66842,0,66842,100.0,66842.0,16710.0,Office,65.0,Retail Store,16.0,,,31.0,0.0,62.0,5550151.0,103.5,138.35,2.07
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,107,1,6,75288,10800,64488,86.0,64488.0,10748.0,Office,87.0,Parking,15.0,,,81.0,0.0,97.0,2972492.75,45.40000153,20.18,0.27
NonResidential,Large Office,DOWNTOWN,112,1,7,184322,0,184322,100.0,184322.0,26332.0,Office,100.0,Data Center,0.0,,,81.0,0.0,100.0,9722890.0,52.70000076,67.78,0.37
NonResidential,Large Office,DOWNTOWN,7,1,7,287853,0,287853,100.0,287853.0,41122.0,Office,95.0,Retail Store,4.0,,,43.0,0.0,100.0,25567108.0,89.40000153,182.14,0.63
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,102,1,2,64512,0,64512,100.0,64512.0,32256.0,Office,98.0,,,,,53.0,0.0,48.0,6114759.5,97.09999847,180.76,2.8
NonResidential,Mixed Use Property,GREATER DUWAMISH,7,1,6,286000,111774,174226,61.0,174226.0,29038.0,Parking,39.0,Office,38.0,Other,17.0,,0.0,101.0,63172816.0,362.6000061,445.62,1.56
NonResidential,Warehouse,GREATER DUWAMISH,90,1,7,144050,0,144050,100.0,144050.0,20579.0,Non-Refrigerated Warehouse,100.0,,,,,26.0,0.0,55.0,4347677.0,30.20000076,98.43,0.68
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,86,1,3,60592,0,60592,100.0,60592.0,20197.0,Office,100.0,,,,,16.0,0.0,94.0,5107519.5,84.59999847,47.25,0.78
NonResidential,Large Office,GREATER DUWAMISH,104,1,6,1380959,0,1380959,100.0,1380959.0,230160.0,Office,72.0,Retail Store,20.0,Non-Refrigerated Warehouse,16.0,79.0,0.0,90.0,75252304.0,50.09999847,810.7,0.59
NonResidential,Retail Store,GREATER DUWAMISH,23,1,1,107930,0,107930,100.0,107930.0,107930.0,Retail Store,100.0,,,,,57.0,0.0,81.0,7589347.5,70.5,100.42,0.93
NonResidential,Warehouse,GREATER DUWAMISH,90,1,1,99084,0,99084,100.0,99084.0,99084.0,Non-Refrigerated Warehouse,100.0,,,,,83.0,0.0,43.0,1838287.25,18.60000038,49.25,0.5
NonResidential,Distribution Center,DELRIDGE,63,1,1,72719,0,72719,100.0,72719.0,72719.0,Distribution Center,100.0,,,,,28.0,0.0,74.0,2774363.5,38.20000076,42.74,0.59
NonResidential,Small- and Mid-Sized Office,EAST,86,1,4,76624,0,76624,100.0,76624.0,19156.0,Office,100.0,,,,,91.0,0.0,78.0,3166841.75,41.29999924,33.41,0.44
NonResidential,Small- and Mid-Sized Office,NORTHEAST,15,1,6,91706,36583,55123,60.0,55123.0,9187.0,Office,58.0,Parking,38.0,Other,4.0,2.0,0.0,100.0,8570571.0,150.3000031,59.75,0.65
NonResidential,Medical Office,LAKE UNION,8,1,5,129093,39902,89191,69.0,89191.0,17838.0,Medical Office,69.0,Parking,29.0,Other,4.0,6.0,0.0,59.0,19892050.0,210.0,477.85,3.7
NonResidential,Large Office,DELRIDGE,25,1,5,138106,16221,121885,88.0,121885.0,24377.0,Office,86.0,Parking,12.0,,,41.0,0.0,100.0,8381834.5,70.40000153,58.43,0.42
NonResidential,Retail Store,GREATER DUWAMISH,43,1,1,56572,0,56572,100.0,56572.0,56572.0,Retail Store,100.0,,,,,66.0,0.0,52.0,2540840.5,44.90000153,67.29,1.19
NonResidential,Medical Office,EAST,12,1,4,225982,0,225982,100.0,225982.0,56496.0,Medical Office,89.0,,,,,53.0,38.0,61.0,20764814.0,103.6999969,692.12,3.06
NonResidential,Mixed Use Property,DOWNTOWN,10,1,3,516407,0,516407,100.0,516407.0,172136.0,Parking,75.0,Multifamily Housing,66.0,Hotel,13.0,31.0,0.0,72.0,40754364.0,78.90000153,734.72,1.42
NonResidential,Large Office,DOWNTOWN,16,1,11,312512,0,312512,100.0,312512.0,28410.0,Office,97.0,Data Center,2.0,Restaurant,1.0,,0.0,100.0,25747022.0,82.40000153,185.39,0.59
NonResidential,Large Office,DOWNTOWN,11,1,42,1592914,0,1592914,100.0,1592914.0,37927.0,Office,57.0,Parking,22.0,Financial Office,19.0,97.0,2.0,97.0,56785916.0,45.5,481.06,0.3
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,90,1,6,97720,0,97720,100.0,97720.0,16287.0,Office,53.0,Data Center,12.0,Retail Store,10.0,,0.0,100.0,2478025.25,33.70000076,17.28,0.18
NonResidential,Medical Office,EAST,31,1,10,422503,206580,215923,51.0,215923.0,21592.0,Medical Office,47.0,,,,,46.0,6.0,94.0,17254810.0,87.40000153,190.1,0.45
NonResidential,Medical Office,CENTRAL,29,1,7,94500,0,94500,100.0,94500.0,13500.0,Medical Office,120.0,,,,,68.0,0.0,101.0,5739540.0,50.5,40.38,0.43
NonResidential,Retail Store,DELRIDGE,11,1,1,94713,0,94713,100.0,94713.0,94713.0,Retail Store,116.0,,,,,79.0,0.0,72.0,5820712.5,53.0,94.74,1.0
NonResidential,Medical Office,EAST,8,1,9,302902,101342,201560,67.0,201560.0,22396.0,Medical Office,66.0,Parking,28.0,,,58.0,0.0,96.0,14802479.0,73.5,130.32,0.43
NonResidential,Medical Office,EAST,43,1,19,319911,156407,163504,51.0,163504.0,8605.0,Medical Office,53.0,Parking,22.0,,,50.0,23.0,74.0,15490998.0,90.69999695,357.39,1.12
NonResidential,Large Office,DOWNTOWN,116,1,6,205521,0,205521,100.0,205521.0,34254.0,Office,56.0,Retail Store,14.0,,,94.0,24.0,51.0,8455976.0,58.90000153,282.46,1.37
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,116,1,6,56700,0,56700,100.0,56700.0,9450.0,Office,81.0,Retail Store,19.0,,,55.0,0.0,100.0,3065954.5,54.29999924,21.37,0.38
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,91,1,4,72000,0,72000,100.0,72000.0,18000.0,Office,100.0,,,,,89.0,0.0,96.0,2739121.5,38.0,23.48,0.33
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,16,1,4,191146,94892,96254,50.0,96254.0,24064.0,Office,54.0,Parking,42.0,,,93.0,0.0,100.0,5101504.5,49.5,35.56,0.19
NonResidential,Other,DELRIDGE,15,1,3,68763,11527,57236,83.0,57236.0,19079.0,Other - Recreation,73.0,Parking,17.0,Swimming Pool,0.0,,0.0,38.0,9596839.0,191.8999939,310.19,4.51
NonResidential,Other,SOUTHEAST,22,3,1,102133,0,102133,100.0,34044.0,34044.0,Strip Mall,105.0,Parking,0.0,,,,0.0,58.0,21406232.0,199.3000031,530.62,5.2
NonResidential,Large Office,DOWNTOWN,8,1,14,362046,0,362046,100.0,362046.0,25860.0,Office,64.0,Parking,27.0,Other,1.0,86.0,0.0,99.0,15725581.0,66.59999847,116.95,0.32
NonResidential,Other,MAGNOLIA / QUEEN ANNE,22,3,2,81336,0,81336,100.0,27112.0,13556.0,Lifestyle Center,100.0,,,,,,0.0,69.0,13360349.0,164.1999969,270.17,3.32
NonResidential,Large Office,DOWNTOWN,15,1,23,538933,0,538933,100.0,538933.0,23432.0,Office,68.0,Parking,23.0,,,90.0,0.0,98.0,16339807.0,44.59999847,111.69,0.21
NonResidential,Other,DOWNTOWN,33,1,6,275982,197130,78852,29.0,78852.0,13142.0,Parking,71.0,Office,29.0,,,,0.0,100.0,5233553.5,66.40000153,36.49,0.13
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,34,1,5,98668,0,98668,100.0,98668.0,19734.0,Office,100.0,,,,,91.0,0.0,100.0,4395027.0,44.5,30.61,0.31
NonResidential,Large Office,GREATER DUWAMISH,9,1,1,158931,28381,130550,82.0,130550.0,130550.0,Office,50.0,Multifamily Housing,22.0,Parking,17.0,12.0,0.0,85.0,9336260.0,72.19999695,98.54,0.62
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,38,1,1,105100,0,105100,100.0,105100.0,105100.0,Office,100.0,,,,,1.0,0.0,78.0,22571400.0,214.8000031,357.86,3.4
NonResidential,Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,8,1,1,57176,0,57176,100.0,57176.0,57176.0,Supermarket/Grocery Store,69.0,Retail Store,26.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",10.0,31.0,0.0,0.0,12843856.0,214.1000061,0.0,0.0
NonResidential,Retail Store,MAGNOLIA / QUEEN ANNE,38,1,1,50660,0,50660,100.0,50660.0,50660.0,Retail Store,100.0,,,,,51.0,0.0,59.0,2956254.5,58.40000153,60.7,1.2
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,79,1,2,61929,0,61929,100.0,61929.0,30964.0,Office,64.0,,,,,59.0,0.0,55.0,2421613.25,60.70000076,55.73,0.9
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,16,1,4,165111,55000,110111,67.0,110111.0,27528.0,Office,63.0,Parking,33.0,Data Center,3.0,1.0,0.0,100.0,25478086.0,231.3999939,177.62,1.08
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,91,1,3,20565,0,20565,100.0,20565.0,6855.0,Office,100.0,,,,,65.0,0.0,97.0,830100.0,40.40000153,5.59,0.27
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,16,1,5,159937,55971,103966,65.0,103966.0,20793.0,Office,67.0,Parking,31.0,,,63.0,0.0,100.0,7857972.5,73.80000305,54.78,0.34
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,8,1,5,183964,46763,137201,75.0,137201.0,27440.0,Office,73.0,Parking,25.0,Data Center,2.0,56.0,0.0,100.0,14856199.0,108.3000031,103.57,0.56
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,30,1,5,208210,78848,129362,62.0,129362.0,25872.0,Office,53.0,Parking,38.0,,,95.0,0.0,66.0,5799664.5,52.70000076,116.74,0.56
NonResidential,Large Office,DOWNTOWN,30,1,7,277486,80283,197203,71.0,197203.0,28172.0,Office,64.0,Parking,32.0,Other,5.0,63.0,0.0,100.0,12729858.0,65.90000153,88.74,0.32
NonResidential,Large Office,DOWNTOWN,23,1,3,187130,0,187130,100.0,187130.0,62377.0,Office,92.0,Non-Refrigerated Warehouse,5.0,Other - Recreation,2.0,77.0,0.0,96.0,10445641.0,54.59999847,70.09,0.37
NonResidential,Large Office,DOWNTOWN,16,1,5,251044,117867,133177,53.0,133177.0,26635.0,Office,50.0,Data Center,5.0,,,99.0,0.0,100.0,17186624.0,123.6999969,119.81,0.48
NonResidential,Warehouse,DOWNTOWN,104,1,5,154330,0,154330,100.0,154330.0,30866.0,Non-Refrigerated Warehouse,62.0,,,,,81.0,0.0,89.0,1411471.75,14.80000019,8.8,0.06
NonResidential,Large Office,DOWNTOWN,98,1,6,108245,14690,93555,86.0,93555.0,15592.0,Office,59.0,Adult Education,14.0,Parking,11.0,,6.0,91.0,4682152.5,47.5,50.17,0.46
NonResidential,Large Office,DOWNTOWN,111,1,6,167860,0,167860,100.0,167860.0,27977.0,Office,66.0,Retail Store,12.0,Data Center,0.0,70.0,0.0,96.0,7046428.5,53.90000153,47.39,0.28
NonResidential,Large Office,DOWNTOWN,106,1,6,112560,0,112560,100.0,112560.0,18760.0,Office,71.0,Retail Store,14.0,,,86.0,0.0,68.0,5268183.0,54.59999847,97.82,0.87
NonResidential,Retail Store,DOWNTOWN,106,1,6,86204,0,86204,100.0,86204.0,14367.0,Other,78.0,Retail Store,16.0,,,89.0,0.0,67.0,3350477.0,45.0,69.02,0.8
Nonresidential COS,Warehouse,GREATER DUWAMISH,31,1,2,145158,0,145158,100.0,145158.0,72579.0,Non-Refrigerated Warehouse,70.0,Office,33.0,Other,7.0,51.0,0.0,82.0,8615958.0,53.70000076,119.46,0.82
NonResidential,Large Office,GREATER DUWAMISH,65,1,2,112896,0,112896,100.0,112896.0,56448.0,Office,98.0,Parking,51.0,,,66.0,0.0,79.0,10622784.0,95.90000153,157.48,1.39
NonResidential,Distribution Center,GREATER DUWAMISH,56,1,1,110613,0,110613,100.0,110613.0,110613.0,Distribution Center,90.0,Office,10.0,,,95.0,0.0,100.0,1015060.188,9.199999809,7.08,0.06
NonResidential,Warehouse,GREATER DUWAMISH,65,1,4,149881,0,149881,100.0,149881.0,37470.0,Non-Refrigerated Warehouse,80.0,Office,20.0,,,97.0,0.0,25.0,2869350.25,19.10000038,95.86,0.64
NonResidential,Warehouse,GREATER DUWAMISH,65,1,3,98220,0,98220,100.0,98220.0,32740.0,Non-Refrigerated Warehouse,132.0,,,,,12.0,0.0,89.0,6562048.5,50.70000076,75.29,0.77
NonResidential,Distribution Center,GREATER DUWAMISH,46,1,1,84420,0,84420,100.0,84420.0,84420.0,Distribution Center,52.0,Office,29.0,Retail Store,15.0,55.0,0.0,99.0,2882685.0,35.40000153,19.86,0.24
NonResidential,Distribution Center,GREATER DUWAMISH,55,1,1,73335,0,73335,100.0,73335.0,73335.0,Distribution Center,100.0,Parking,0.0,,,,0.0,48.0,5459973.5,74.5,155.74,2.12
NonResidential,Distribution Center,GREATER DUWAMISH,88,1,2,56876,0,56876,100.0,56876.0,28438.0,Distribution Center,85.0,Office,8.0,Retail Store,7.0,,0.0,50.0,2015776.625,35.40000153,48.5,0.85
NonResidential,Warehouse,GREATER DUWAMISH,85,1,2,61200,0,61200,100.0,61200.0,30600.0,Non-Refrigerated Warehouse,100.0,,,,,16.0,0.0,34.0,5285776.5,86.40000153,178.62,2.92
NonResidential,Distribution Center,GREATER DUWAMISH,29,1,1,111908,0,111908,100.0,111908.0,111908.0,Distribution Center,97.0,,,,,87.0,0.0,63.0,1667059.125,15.30000019,34.14,0.31
NonResidential,Other,GREATER DUWAMISH,30,3,2,63644,0,63644,100.0,21215.0,10608.0,Other - Public Services,103.0,Parking,0.0,,,,0.0,57.0,7448018.0,113.4000015,168.5,2.65
NonResidential,Mixed Use Property,GREATER DUWAMISH,86,3,2,108753,18860,89893,83.0,29964.0,14982.0,Non-Refrigerated Warehouse,54.0,Multifamily Housing,22.0,Retail Store,17.0,,0.0,98.0,3714717.25,34.20000076,25.37,0.23
NonResidential,Supermarket / Grocery Store,NORTHWEST,46,1,1,141890,35545,106345,75.0,106345.0,106345.0,Supermarket/Grocery Store,119.0,Parking,0.0,Parking,0.0,91.0,0.0,75.0,17384564.0,103.0,293.56,2.07
NonResidential,Small- and Mid-Sized Office,BALLARD,15,1,4,92092,21055,71037,77.0,71037.0,17759.0,Office,76.0,,,,,5.0,0.0,100.0,4817062.0,68.69999695,33.58,0.36
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,42,1,3,56259,0,56259,100.0,56259.0,18753.0,Non-Refrigerated Warehouse,56.0,Retail Store,37.0,Office,7.0,,0.0,30.0,2685146.5,47.70000076,86.9,1.54
NonResidential,Other,NORTHEAST,10,1,6,143439,0,143439,100.0,143439.0,23906.0,Other,83.0,Parking,17.0,,,,0.0,55.0,25736450.0,215.1999969,710.7,4.95
NonResidential,Large Office,LAKE UNION,8,1,4,202623,88855,113768,56.0,113768.0,28442.0,Office,52.0,Parking,16.0,Fitness Center/Health Club/Gym,3.0,73.0,0.0,100.0,8873485.0,79.5,61.86,0.31
NonResidential,Small- and Mid-Sized Office,LAKE UNION,16,1,2,77174,25800,51374,67.0,51374.0,25687.0,Office,100.0,,,,,33.0,0.0,100.0,5481549.0,71.0,38.21,0.5
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,18,1,5,110524,0,110524,100.0,110524.0,22105.0,Office,89.0,Other,8.0,Parking,0.0,57.0,0.0,100.0,6859198.0,63.90000153,47.82,0.43
NonResidential,Mixed Use Property,LAKE UNION,8,1,5,287224,103650,183574,64.0,183574.0,36715.0,Parking,34.0,Office,31.0,Other,19.0,,0.0,82.0,21299472.0,141.6000061,314.43,1.09
NonResidential,Laboratory,LAKE UNION,17,1,4,115748,18382,97366,84.0,97366.0,24342.0,Laboratory,84.0,,,,,,0.0,47.0,35938164.0,369.1000061,1154.79,9.98
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,16,1,7,241875,84689,157186,65.0,157186.0,22455.0,Office,67.0,Parking,34.0,,,88.0,0.0,97.0,8732968.0,53.5,68.06,0.28
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,42,1,5,102930,18720,84210,82.0,84210.0,16842.0,Office,87.0,Parking,15.0,,,85.0,0.0,81.0,5034942.5,56.5,65.03,0.63
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,114,1,3,76893,0,76893,100.0,76893.0,25631.0,Office,117.0,Parking,43.0,Retail Store,21.0,,0.0,67.0,12289373.0,115.6999969,260.13,3.38
NonResidential,Large Office,DOWNTOWN,41,1,8,150000,23630,126370,84.0,126370.0,15796.0,Office,84.0,Parking,16.0,,,65.0,0.0,83.0,9836703.0,77.69999695,119.93,0.8
NonResidential,Large Office,DOWNTOWN,63,1,7,274362,0,274362,100.0,274362.0,39195.0,Office,100.0,,,,,82.0,0.0,96.0,16572684.0,60.40000153,147.82,0.54
NonResidential,Large Office,DOWNTOWN,33,1,15,378002,116280,261722,69.0,261722.0,17448.0,Office,71.0,Parking,19.0,,,85.0,0.0,83.0,18235512.0,67.5,246.83,0.65
NonResidential,Large Office,DOWNTOWN,53,1,11,169020,0,169020,100.0,169020.0,15365.0,Office,93.0,Bar/Nightclub,6.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5.0,83.0,24.0,60.0,12019477.0,68.69999695,346.62,2.05
NonResidential,Other,DOWNTOWN,35,1,33,429405,0,429405,100.0,429405.0,13012.0,Data Center,51.0,Office,49.0,,,98.0,0.0,100.0,274725984.0,639.7999878,1921.82,4.48
NonResidential,Large Office,DOWNTOWN,31,1,76,1952220,319400,1632820,84.0,1632820.0,21484.0,Office,86.0,Parking,16.0,,,86.0,0.0,95.0,92537256.0,55.09999847,882.56,0.45
NonResidential,Large Office,DOWNTOWN,35,1,19,383515,89778,293737,77.0,293737.0,15460.0,Office,81.0,Parking,22.0,Medical Office,5.0,90.0,0.0,98.0,16228155.0,49.0,110.7,0.29
NonResidential,Medical Office,DOWNTOWN,91,1,18,363934,28870,335064,92.0,335064.0,18615.0,Medical Office,77.0,Parking,8.0,Retail Store,6.0,68.0,26.0,69.0,23128454.0,76.30000305,582.28,1.6
NonResidential,Retail Store,DOWNTOWN,87,1,4,78920,0,78920,100.0,78920.0,19730.0,Retail Store,100.0,,,,,80.0,0.0,86.0,8303666.5,105.1999969,109.85,1.39
NonResidential,Other,DOWNTOWN,17,1,3,947987,0,947987,100.0,947987.0,315996.0,Other - Mall,59.0,Other - Entertainment/Public Assembly,11.0,Restaurant,8.0,,0.0,100.0,46343304.0,62.09999847,324.25,0.34
NonResidential,Mixed Use Property,EAST,108,1,4,55520,0,55520,100.0,55520.0,13880.0,Office,31.0,Performing Arts,28.0,Self-Storage Facility,24.0,,0.0,25.0,3904791.25,70.30000305,150.88,2.72
NonResidential,Large Office,DOWNTOWN,108,1,10,132998,0,132998,100.0,132998.0,13300.0,Office,104.0,Retail Store,0.0,,,97.0,38.0,56.0,4040138.75,29.20000076,133.8,1.01
NonResidential,Retail Store,DOWNTOWN,76,1,3,83118,0,83118,100.0,83118.0,27706.0,Retail Store,54.0,,,,,59.0,0.0,87.0,2533838.5,56.29999924,27.82,0.33
NonResidential,Retail Store,DOWNTOWN,92,1,3,77555,0,77555,100.0,77555.0,25852.0,Retail Store,95.0,,,,,39.0,0.0,100.0,7802205.5,106.0999985,54.4,0.7
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,107,1,6,51218,0,51218,100.0,51218.0,8536.0,Office,88.0,Restaurant,14.0,,,57.0,0.0,100.0,2886141.5,55.5,20.12,0.39
NonResidential,Large Office,DOWNTOWN,46,1,29,489182,0,489182,100.0,489182.0,16868.0,Office,76.0,Parking,13.0,Other - Technology/Science,2.0,43.0,0.0,87.0,37351804.0,96.40000153,426.39,0.87
NonResidential,Large Office,DOWNTOWN,87,1,27,216571,13320,203251,94.0,203251.0,7528.0,Office,84.0,Parking,6.0,Other - Technology/Science,3.0,62.0,43.0,50.0,17352520.0,91.90000153,639.72,2.95
NonResidential,Large Office,DOWNTOWN,95,1,13,189175,0,189175,100.0,189175.0,14552.0,Office,80.0,Other,7.0,,,13.0,0.0,100.0,19036416.0,115.8000031,132.71,0.7
NonResidential,Large Office,DOWNTOWN,18,1,13,293803,74481,219322,75.0,219322.0,16871.0,Office,50.0,Parking,24.0,,,25.0,0.0,99.0,17267470.0,118.6999969,119.03,0.41
NonResidential,Large Office,DOWNTOWN,106,1,7,122356,0,122356,100.0,122356.0,17479.0,Office,78.0,Retail Store,13.0,Data Center,0.0,91.0,0.0,93.0,4675881.5,41.90000153,41.8,0.34
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,95,1,3,52298,0,52298,100.0,52298.0,17433.0,Office,96.0,,,,,89.0,0.0,97.0,2038746.5,40.59999847,13.72,0.26
NonResidential,Large Office,DOWNTOWN,105,1,17,116640,0,116640,100.0,116640.0,6861.0,Office,70.0,Financial Office,6.0,Food Service,5.0,75.0,25.0,71.0,7066534.5,73.59999847,169.06,1.45
NonResidential,Large Office,DOWNTOWN,35,1,42,1249055,201121,1047934,84.0,1047934.0,24951.0,Office,79.0,Parking,24.0,Medical Office,1.0,95.0,0.0,96.0,39518364.0,39.59999847,264.78,0.21
NonResidential,Medical Office,EAST,28,1,5,188339,99314,89025,47.0,89025.0,17805.0,Medical Office,43.0,Parking,36.0,,,15.0,0.0,92.0,8588643.0,104.9000015,89.41,0.47
